datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 20:26:41:773,1,1,76.0,486.0,410.0,56.45,28.08,100464.67,78.11,5.5,-5.91,5.29,0.0,0.0,-0.0,-9.95,15.38,-15.26,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:41:900,2,2,223.0,1322.0,1099.0,149.1,29.03,100420.08,81.85,6.63,-5.23,-5.09,-0.0,0.0,0.0,-13.63,12.27,11.1,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:027,0,0,81.0,500.0,419.0,57.3,28.79,100423.35,81.57,-7.85,-4.39,-3.33,-0.0,0.0,-0.0,16.88,15.36,-14.95,32.65,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:153,1,1,76.0,486.0,410.0,56.45,28.08,100465.75,78.02,5.49,-5.96,5.29,-0.0,0.0,-0.01,-11.44,15.75,-13.71,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:280,2,2,223.0,1322.0,1099.0,149.1,29.03,100423.36,81.57,6.6,-5.24,-5.12,-0.0,0.0,-0.0,-13.36,11.05,12.75,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:407,0,0,81.0,500.0,419.0,57.3,28.78,100420.92,81.77,-7.86,-4.35,-3.32,-0.0,-0.0,0.0,17.0,17.75,-15.24,32.65,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:533,1,1,76.0,486.0,410.0,56.45,28.08,100468.33,77.8,5.5,-5.96,5.31,-0.0,0.0,-0.01,-12.92,15.56,-16.04,30.05,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:660,2,2,223.0,1322.0,1099.0,149.1,29.03,100422.49,81.64,6.65,-5.26,-5.11,-0.0,-0.0,-0.0,-12.68,12.39,5.31,30.38,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:787,0,0,81.0,500.0,419.0,57.3,28.79,100423.7,81.54,-7.87,-4.38,-3.35,-0.0,-0.0,-0.0,17.55,14.92,-16.12,32.66,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:42:914,1,1,76.0,486.0,410.0,56.45,28.08,100466.97,77.91,5.53,-5.92,5.29,0.0,-0.0,-0.0,-12.92,15.56,-15.26,30.05,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:43:040,2,2,223.0,1322.0,1099.0,149.1,29.03,100423.05,81.6,6.63,-5.24,-5.12,-0.0,-0.0,-0.0,-13.9,11.3,7.79,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:43:167,0,0,81.0,500.0,419.0,57.3,28.79,100422.19,81.67,-7.85,-4.35,-3.34,-0.0,0.0,0.0,17.44,14.7,-14.65,32.65,missing_pressure,storage_ExFatLogger08.csv
